utc_event_date,revenue_main
31/05/22,14270362.22243999
01/06/22,15292505.304508014
02/06/22,15033123.829799993
03/06/22,22060801.484755248
04/06/22,12283446.244013991
05/06/22,17855265.321438
06/06/22,17239597.293224
07/06/22,16384105.874084005
08/06/22,16755583.280217996
09/06/22,20860461.49681399
10/06/22,17816506.773944993
11/06/22,14403501.166691007
12/06/22,9546640.373806998
13/06/22,14802221.235560002
14/06/22,2354569.1520400005
15/06/22,10210516.519005999
16/06/22,18054983.00932499
17/06/22,19228680.244386006
18/06/22,18925356.117328003
19/06/22,19548755.444440003
20/06/22,19860280.029260006
21/06/22,19788329.347494006
22/06/22,19308411.790441997
23/06/22,19904013.02783799
24/06/22,18010785.1475
25/06/22,15230660.700940002
26/06/22,17756750.957175005
27/06/22,17701777.125324994
28/06/22,18767019.604040004
29/06/22,19994288.003124002
30/06/22,20138050.700044014
01/07/22,20557942.484939992
02/07/22,16636920.001869995
03/07/22,17741350.946208008
04/07/22,18351365.28396298
05/07/22,19726366.179054998
06/07/22,17948884.9243
07/07/22,18064685.082000002
08/07/22,16663487.427468
09/07/22,10947348.463819997
10/07/22,13516992.677560005
11/07/22,15002717.236291999
12/07/22,16574315.102915995
13/07/22,16968992.3741004
14/07/22,15597157.251034994
15/07/22,14437443.289070003
16/07/22,12724461.327399997
17/07/22,13015806.591101808
18/07/22,16422773.366430001
19/07/22,16258239.384104004
20/07/22,17394927.62390001
21/07/22,18438776.100651994
22/07/22,16593003.94322
23/07/22,12646179.890965
24/07/22,14723199.611845005
25/07/22,17234560.782144
26/07/22,16482609.67364799
27/07/22,15764849.696899993
28/07/22,16440641.304000009
29/07/22,15953769.436284004
30/07/22,13812955.670800002
31/07/22,13915441.543400005
01/08/22,17813425.418334592
02/08/22,19214247.632186007
03/08/22,19014778.034450002
04/08/22,20446307.975254983
05/08/22,17435852.456825003
06/08/22,14523368.978620999
07/08/22,16400896.382336281
08/08/22,21372293.936000004
09/08/22,19673164.980000004
10/08/22,19118693.986312
11/08/22,18375777.680310003
12/08/22,16050075.597624995
13/08/22,13996706.134298002
14/08/22,16232746.207000008
15/08/22,26025336.967690002
16/08/22,21516975.686399993
17/08/22,21884524.528031997
18/08/22,18106151.22052
19/08/22,20055315.925
20/08/22,15409003.89098
21/08/22,16846269.879688
22/08/22,18185376.862864416
23/08/22,18408746.843132
24/08/22,17954138.649600018
25/08/22,16232431.225322003
26/08/22,16471825.315615993
27/08/22,14435200.190268002
28/08/22,15785051.550367996
29/08/22,16719749.93014799
30/08/22,15652175.970665997
31/08/22,14767984.757277997
01/09/22,15657037.3792
02/09/22,14306313.185631996
03/09/22,13646383.456720004
04/09/22,15646568.008152006
05/09/22,17240120.999560013
06/09/22,16605335.470804
07/09/22,16113376.144899996
08/09/22,19523828.145856
09/09/22,17390603.130604006
10/09/22,16198311.325
11/09/22,16918905.884290002
12/09/22,19146386.683254987
13/09/22,19659050.323080007
14/09/22,19438258.654240012
15/09/22,22572770.382884007
16/09/22,18402762.8
17/09/22,16023714.107709996
18/09/22,16783389.230619993
19/09/22,17935114.896459997
20/09/22,18725264.640808996
21/09/22,18221722.911613
22/09/22,19928576.190016985
23/09/22,20186691.67028401
24/09/22,18410974.937912002
25/09/22,19526563.655
26/09/22,19272512.595
27/09/22,20875308.038256995
28/09/22,20730230.521600008
29/09/22,21401132.766499992
30/09/22,19541436.120399997
01/10/22,19403834.189604014
02/10/22,19694556.452800002
03/10/22,21502456.383199997
04/10/22,19134344.543244008
05/10/22,19013849.513000008
06/10/22,17618087.987121
07/10/22,17321600.516040005
08/10/22,13189750.304168
09/10/22,18973000.77748201
10/10/22,21127782.120342
11/10/22,19016336.11499797
12/10/22,18492436.14502077
13/10/22,24289707.863104016
14/10/22,21393540.582260884
15/10/22,19421311.279428
16/10/22,19381825.188380003
17/10/22,18889232.51497584
18/10/22,21676087.869469985
19/10/22,23387933.405460004
20/10/22,22594568.736399986
21/10/22,20908220.763592005
22/10/22,24225926.040698003
23/10/22,23265257.211458
24/10/22,26403232.108338002
25/10/22,25124074.612323955
26/10/22,34272850.745191
27/10/22,25642316.72524001
28/10/22,22488063.976076003
29/10/22,21602803.269249007
30/10/22,23701062.609608002
31/10/22,24040139.29766201
01/11/22,26174072.32419
02/11/22,35761707.66944103
03/11/22,37539969.84445503
04/11/22,35330460.429615
05/11/22,31663248.443324998
06/11/22,32613205.556550004
07/11/22,33637008.82816
08/11/22,37181047.434016004
09/11/22,39065539.740688
10/11/22,42326816.53504801
11/11/22,79716233.43200609
12/11/22,39572240.015018016
13/11/22,34418108.986764
14/11/22,40408339.56499901
15/11/22,32951075.731353987
16/11/22,31159238.60746001
17/11/22,29772279.739089
18/11/22,55380377.395078
19/11/22,49903194.55212099
20/11/22,45915463.33794644
21/11/22,40576215.40474303
22/11/22,41388017.98669601
23/11/22,42091488.441155985
24/11/22,44349301.69150598
25/11/22,50718530.04107996
26/11/22,43326172.834342
27/11/22,42957492.54753399
28/11/22,40805522.145665996
29/11/22,36544846.40467
30/11/22,34913841.80848097
01/12/22,30228133.469308022
02/12/22,31152694.407799996
03/12/22,30914621.067300014
04/12/22,31094085.176801987
05/12/22,30626010.452621993
06/12/22,30204182.309065007
07/12/22,29570728.555359993
08/12/22,31844886.693282004
09/12/22,35965473.69806799
10/12/22,33223342.008518003
11/12/22,35717860.32313003
12/12/22,36198032.290882014
13/12/22,35996809.729863
14/12/22,36459497.073143914
15/12/22,36133520.52058098
16/12/22,34921736.87494202
17/12/22,35313073.81583398
18/12/22,38180765.07740202
19/12/22,36507591.01405
20/12/22,34585491.747827
21/12/22,34766967.845754005
22/12/22,34845553.080651015
23/12/22,34278424.325259954
24/12/22,32858347.785216007
25/12/22,31414310.359928988
26/12/22,29058435.734894015
27/12/22,25306968.73611201
28/12/22,25221569.092609998
29/12/22,21907007.577169992
30/12/22,16578269.829670977
31/12/22,11005367.997267017
01/01/23,21801760.609705005
02/01/23,26510025.018813986
03/01/23,24935640.25756299
04/01/23,26480901.12075298
05/01/23,26308854.422385007
06/01/23,25289719.4598114
07/01/23,26955874.817208055
08/01/23,27471344.82670798
09/01/23,26315751.301870003
10/01/23,27363776.513063002
11/01/23,27635758.91086999
12/01/23,27013952.957292005
13/01/23,24225578.846639995
14/01/23,26093534.096688
15/01/23,28938775.963901006
16/01/23,25114954.590083
17/01/23,24219404.894511003
18/01/23,25538809.368347004
